StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27_Browser,Q27_Version,Q27_Operating System,Q27_Resolution,Q1,Q1_DO,Q9,Q9_DO,Q2,Q2_DO,Q10,Q10_DO,Q11,Q11_DO,Q12,Q12_DO,Q13,Q13_DO,Q14,Q14_DO,Q15,Q15_DO,Q16,Q16_DO,SurveyWave,Version,FL_3_DO,DefaultQuestionBlock_DO
2025-05-05 01:17:09,2025-05-05 01:19:37,IP Address,66.31.43.13,100,147,True,2025-05-05 01:19:37,R_3fwZSA0cS0kaRON,,,,,42.3907,-71.1349,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,3840x1080,"    Contact Center","    Contact Center|    Provider|    Client|    Pharmacy",PCS,"    ImageOne|PCS|    TruCare|    SIE Member Web","    Mostly Degraded","    All Healthy|    Mostly Degraded|    Mixed status|    Offline","    Help Desk / Support","    Finance|    Help Desk / Support|    HR|    Marketing","    MHK Slowness (USG)","    Eligibility Socket Error|    MHK Slowness (USG)|    PCS Web Alert|    Firewall issue (USC)","    Stable with no warnings","    Fully recovered|    Increasing degradation|    Fluctuating warnings|    Stable with no warnings",TruCare Authorization issue,TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag|    PCS Synthetic Coverage,"    Active Managed Incidents","    Access to Care Alerts|    Active Managed Incidents|    Troubleshooting line assignments|    System grid color","    PCS Web Failure","    MHK Outage|    Firewall Degradation|    PCS Web Failure|    Eligibility Failure","    Firewall reboot","    PCS Synthetic HTML error|    ImageOne socket exceptions|TruCare Authorization issue|    Firewall reboot",2,ImprovedBoth,FL_26,Q11|Q2|Q16|Q1|Q12|Q10|Q14|Q27|Q15|Q9|Q13
2025-05-05 01:39:33,2025-05-05 01:50:23,IP Address,157.254.254.204,100,649,True,2025-05-05 01:50:23,R_7kMNbO3PdHvDR9W,,,,,47.6722,-122.1257,anonymous,EN,Chrome,131.0.0.0,Windows NT 10.0,1536x864,"    Contact Center","    Pharmacy|    Client|    Contact Center|    Provider","    SIE Member Web","    ImageOne|    SIE Member Web|    TruCare|PCS","    All Healthy","    Offline|    Mostly Degraded|    Mixed status|    All Healthy","    Help Desk / Support","    Help Desk / Support|    Marketing|    Finance|    HR","    MHK Slowness (USG)","    Eligibility Socket Error|    PCS Web Alert|    MHK Slowness (USG)|    Firewall issue (USC)","    Fully recovered","    Fluctuating warnings|    Fully recovered|    Increasing degradation|    Stable with no warnings",TruCare Authorization issue,"    MHK Performance Lag|    Eligibility Firewall Timeout|    PCS Synthetic Coverage|TruCare Authorization issue","    Active Managed Incidents","    System grid color|    Troubleshooting line assignments|    Access to Care Alerts|    Active Managed Incidents","    Firewall Degradation","    MHK Outage|    Firewall Degradation|    Eligibility Failure|    PCS Web Failure",TruCare Authorization issue,"    ImageOne socket exceptions|    PCS Synthetic HTML error|TruCare Authorization issue|    Firewall reboot",2,ImprovedHierarchy,FL_22,Q12|Q27|Q13|Q9|Q2|Q11|Q15|Q1|Q10|Q14|Q16
2025-05-05 01:57:35,2025-05-05 01:59:54,IP Address,172.58.130.42,100,139,True,2025-05-05 01:59:54,R_3mQNFUYkIcKApEZ,,,,,25.9562,-80.1828,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,"    Contact Center","    Contact Center|    Client|    Pharmacy|    Provider",PCS,"    ImageOne|PCS|    SIE Member Web|    TruCare","    All Healthy","    Mixed status|    All Healthy|    Mostly Degraded|    Offline","    HR","    Help Desk / Support|    Marketing|    HR|    Finance","    Firewall issue (USC)","    Firewall issue (USC)|    MHK Slowness (USG)|    Eligibility Socket Error|    PCS Web Alert","    Fully recovered","    Fluctuating warnings|    Fully recovered|    Increasing degradation|    Stable with no warnings","    MHK Performance Lag","    Eligibility Firewall Timeout|    MHK Performance Lag|    PCS Synthetic Coverage|TruCare Authorization issue","    Active Managed Incidents","    Troubleshooting line assignments|    Access to Care Alerts|    Active Managed Incidents|    System grid color","    Eligibility Failure","    MHK Outage|    Eligibility Failure|    PCS Web Failure|    Firewall Degradation","    ImageOne socket exceptions",TruCare Authorization issue|    ImageOne socket exceptions|    PCS Synthetic HTML error|    Firewall reboot,2,StatusQuo,FL_21,Q27|Q1|Q14|Q12|Q9|Q10|Q16|Q13|Q15|Q11|Q2
2025-05-05 02:57:59,2025-05-05 02:59:43,IP Address,76.110.172.26,100,104,True,2025-05-05 02:59:43,R_1ZOfmi5uswXy5uz,,,,,25.9585,-80.1381,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,"    Contact Center","    Client|    Pharmacy|    Contact Center|    Provider",PCS,PCS|    ImageOne|    TruCare|    SIE Member Web,"    Offline","    All Healthy|    Offline|    Mostly Degraded|    Mixed status","    HR","    Marketing|    HR|    Finance|    Help Desk / Support","    PCS Web Alert","    Eligibility Socket Error|    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert","    Fluctuating warnings","    Fully recovered|    Fluctuating warnings|    Stable with no warnings|    Increasing degradation",TruCare Authorization issue,"    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage","    Active Managed Incidents","    Access to Care Alerts|    Troubleshooting line assignments|    Active Managed Incidents|    System grid color","    Eligibility Failure","    Eligibility Failure|    MHK Outage|    Firewall Degradation|    PCS Web Failure","    Firewall reboot","    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error|TruCare Authorization issue",2,ImprovedBoth,FL_26,Q12|Q15|Q13|Q10|Q1|Q2|Q14|Q11|Q9|Q27|Q16
2025-05-05 03:12:49,2025-05-05 03:14:15,IP Address,100.6.103.117,100,85,True,2025-05-05 03:14:15,R_5oAvUKzWM5MpCTf,,,,,40.3214,-80.0378,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,"    Client","    Provider|    Contact Center|    Client|    Pharmacy","    TruCare","    SIE Member Web|    TruCare|PCS|    ImageOne","    All Healthy","    Mixed status|    All Healthy|    Offline|    Mostly Degraded","    Help Desk / Support","    Marketing|    Help Desk / Support|    Finance|    HR","    PCS Web Alert","    Eligibility Socket Error|    PCS Web Alert|    Firewall issue (USC)|    MHK Slowness (USG)","    Fully recovered","    Fluctuating warnings|    Fully recovered|    Increasing degradation|    Stable with no warnings","    MHK Performance Lag","    Eligibility Firewall Timeout|    MHK Performance Lag|TruCare Authorization issue|    PCS Synthetic Coverage","    System grid color","    Access to Care Alerts|    System grid color|    Active Managed Incidents|    Troubleshooting line assignments","    MHK Outage","    MHK Outage|    Firewall Degradation|    PCS Web Failure|    Eligibility Failure",TruCare Authorization issue,"    PCS Synthetic HTML error|TruCare Authorization issue|    Firewall reboot|    ImageOne socket exceptions",2,ImprovedHierarchy,FL_22,Q9|Q2|Q13|Q11|Q1|Q16|Q10|Q27|Q14|Q12|Q15
2025-05-05 04:00:31,2025-05-05 04:01:48,IP Address,63.119.34.132,100,76,True,2025-05-05 04:01:48,R_3oAPAV1LmnCf5LW,,,,,42.0491,-71.8944,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,"    Contact Center","    Pharmacy|    Contact Center|    Provider|    Client",PCS,"    ImageOne|    TruCare|PCS|    SIE Member Web","    Mostly Degraded","    Offline|    Mostly Degraded|    All Healthy|    Mixed status","    Finance","    HR|    Finance|    Marketing|    Help Desk / Support","    Eligibility Socket Error","    PCS Web Alert|    Firewall issue (USC)|    Eligibility Socket Error|    MHK Slowness (USG)","    Increasing degradation","    Fluctuating warnings|    Increasing degradation|    Fully recovered|    Stable with no warnings","    MHK Performance Lag","    Eligibility Firewall Timeout|    MHK Performance Lag|TruCare Authorization issue|    PCS Synthetic Coverage","    System grid color","    Active Managed Incidents|    Access to Care Alerts|    System grid color|    Troubleshooting line assignments","    MHK Outage","    MHK Outage|    PCS Web Failure|    Firewall Degradation|    Eligibility Failure","    Firewall reboot","    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error|TruCare Authorization issue",2,ImprovedChartjunk,FL_25,Q12|Q15|Q27|Q16|Q2|Q11|Q9|Q13|Q1|Q14|Q10
2025-05-05 04:43:56,2025-05-05 04:46:00,IP Address,75.60.0.233,100,124,True,2025-05-05 04:46:01,R_5uCXxMfSoEnLSoM,,,,,33.9955,-84.6581,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,"    Pharmacy","    Client|    Contact Center|    Pharmacy|    Provider","    SIE Member Web",PCS|    SIE Member Web|    ImageOne|    TruCare,"    Mixed status","    Offline|    Mixed status|    Mostly Degraded|    All Healthy","    Help Desk / Support","    Marketing|    Help Desk / Support|    Finance|    HR","    PCS Web Alert","    MHK Slowness (USG)|    Eligibility Socket Error|    PCS Web Alert|    Firewall issue (USC)","    Increasing degradation","    Increasing degradation|    Stable with no warnings|    Fluctuating warnings|    Fully recovered","    PCS Synthetic Coverage",TruCare Authorization issue|    MHK Performance Lag|    PCS Synthetic Coverage|    Eligibility Firewall Timeout,"    Troubleshooting line assignments","    Access to Care Alerts|    Active Managed Incidents|    System grid color|    Troubleshooting line assignments","    Eligibility Failure","    MHK Outage|    Eligibility Failure|    Firewall Degradation|    PCS Web Failure","    ImageOne socket exceptions","    PCS Synthetic HTML error|TruCare Authorization issue|    Firewall reboot|    ImageOne socket exceptions",2,StatusQuo,FL_21,Q13|Q10|Q1|Q27|Q9|Q14|Q12|Q2|Q16|Q11|Q15
2025-05-05 04:49:01,2025-05-05 04:51:00,IP Address,167.253.80.14,100,118,True,2025-05-05 04:51:00,R_6fCrPeLozbx3qs6,,,,,40.5992,-77.5768,anonymous,EN,Firefox,140.0,Windows NT 10.0,1024x768,"    Client","    Contact Center|    Pharmacy|    Client|    Provider",PCS,PCS|    TruCare|    SIE Member Web|    ImageOne,"    All Healthy","    Offline|    Mixed status|    Mostly Degraded|    All Healthy","    Marketing","    Help Desk / Support|    Finance|    HR|    Marketing","    Firewall issue (USC)","    PCS Web Alert|    Firewall issue (USC)|    MHK Slowness (USG)|    Eligibility Socket Error","    Fully recovered","    Increasing degradation|    Fluctuating warnings|    Fully recovered|    Stable with no warnings","    PCS Synthetic Coverage","    Eligibility Firewall Timeout|    PCS Synthetic Coverage|TruCare Authorization issue|    MHK Performance Lag","    Access to Care Alerts","    Troubleshooting line assignments|    Access to Care Alerts|    System grid color|    Active Managed Incidents","    MHK Outage","    Firewall Degradation|    PCS Web Failure|    MHK Outage|    Eligibility Failure",TruCare Authorization issue,TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions|    Firewall reboot,2,ImprovedBoth,FL_26,Q1|Q16|Q2|Q9|Q12|Q10|Q14|Q13|Q15|Q27|Q11
2025-05-05 05:03:02,2025-05-05 05:04:43,IP Address,65.195.104.150,100,101,True,2025-05-05 05:04:44,R_5ZJEz7HcOLZT4Ou,,,,,42.4125,-71.0034,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,"    Client","    Provider|    Client|    Contact Center|    Pharmacy","    ImageOne","    SIE Member Web|PCS|    ImageOne|    TruCare","    Offline","    Offline|    Mostly Degraded|    Mixed status|    All Healthy","    HR","    Marketing|    Help Desk / Support|    HR|    Finance","    MHK Slowness (USG)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fully recovered","    Increasing degradation|    Fully recovered|    Fluctuating warnings|    Stable with no warnings","    Eligibility Firewall Timeout","    PCS Synthetic Coverage|TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag","    System grid color","    Active Managed Incidents|    Access to Care Alerts|    System grid color|    Troubleshooting line assignments","    PCS Web Failure","    MHK Outage|    PCS Web Failure|    Eligibility Failure|    Firewall Degradation",TruCare Authorization issue,TruCare Authorization issue|    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error,2,ImprovedChartjunk,FL_25,Q13|Q16|Q11|Q12|Q27|Q14|Q2|Q9|Q1|Q15|Q10
2025-05-05 05:05:50,2025-05-05 05:09:10,IP Address,96.241.248.57,100,200,True,2025-05-05 05:09:11,R_1oC238CTu9kVfQV,,,,,38.8476,-77.3281,anonymous,EN,Edge,136.0.0.0,Windows NT 10.0,3440x1440,"    Provider","    Provider|    Contact Center|    Client|    Pharmacy","    SIE Member Web","    TruCare|    ImageOne|    SIE Member Web|PCS","    All Healthy","    Mixed status|    Offline|    Mostly Degraded|    All Healthy","    Help Desk / Support","    Marketing|    Finance|    Help Desk / Support|    HR","    Eligibility Socket Error","    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error|    Firewall issue (USC)","    Fully recovered","    Fluctuating warnings|    Stable with no warnings|    Fully recovered|    Increasing degradation",TruCare Authorization issue,TruCare Authorization issue|    PCS Synthetic Coverage|    MHK Performance Lag|    Eligibility Firewall Timeout,"    Active Managed Incidents","    Access to Care Alerts|    System grid color|    Troubleshooting line assignments|    Active Managed Incidents","    Firewall Degradation","    PCS Web Failure|    MHK Outage|    Firewall Degradation|    Eligibility Failure",TruCare Authorization issue,"    PCS Synthetic HTML error|    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions",2,ImprovedHierarchy,FL_22,Q16|Q14|Q1|Q27|Q9|Q12|Q15|Q13|Q11|Q2|Q10
2025-05-05 05:01:47,2025-05-05 05:11:21,IP Address,70.237.103.247,100,573,True,2025-05-05 05:11:21,R_5tqIJPSLGVz6kGR,,,,,33.8019,-84.3861,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Contact Center","    Client|    Provider|    Pharmacy|    Contact Center","    TruCare",PCS|    SIE Member Web|    ImageOne|    TruCare,"    Mixed status","    Mostly Degraded|    Mixed status|    Offline|    All Healthy","    Help Desk / Support","    Finance|    Marketing|    HR|    Help Desk / Support","    Eligibility Socket Error","    Eligibility Socket Error|    MHK Slowness (USG)|    PCS Web Alert|    Firewall issue (USC)","    Stable with no warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    Eligibility Firewall Timeout",TruCare Authorization issue|    PCS Synthetic Coverage|    Eligibility Firewall Timeout|    MHK Performance Lag,"    Troubleshooting line assignments","    System grid color|    Active Managed Incidents|    Troubleshooting line assignments|    Access to Care Alerts","    Eligibility Failure","    Eligibility Failure|    MHK Outage|    Firewall Degradation|    PCS Web Failure","    ImageOne socket exceptions",TruCare Authorization issue|    ImageOne socket exceptions|    PCS Synthetic HTML error|    Firewall reboot,2,ImprovedHierarchy,FL_22,Q11|Q10|Q13|Q2|Q12|Q27|Q14|Q1|Q16|Q15|Q9
2025-05-05 05:20:31,2025-05-05 05:30:12,IP Address,24.192.218.248,100,580,True,2025-05-05 05:30:13,R_1MwlJwvkwiD6phf,,,,,42.5538,-82.9185,anonymous,EN,Firefox,137.0,Windows NT 10.0,1920x1080,"    Client","    Client|    Contact Center|    Provider|    Pharmacy",PCS,"    TruCare|PCS|    SIE Member Web|    ImageOne","    Mostly Degraded","    Mostly Degraded|    Offline|    All Healthy|    Mixed status","    Help Desk / Support","    Marketing|    Finance|    HR|    Help Desk / Support","    PCS Web Alert","    Firewall issue (USC)|    Eligibility Socket Error|    PCS Web Alert|    MHK Slowness (USG)","    Increasing degradation","    Fully recovered|    Stable with no warnings|    Fluctuating warnings|    Increasing degradation","    PCS Synthetic Coverage","    MHK Performance Lag|    Eligibility Firewall Timeout|TruCare Authorization issue|    PCS Synthetic Coverage","    Troubleshooting line assignments","    System grid color|    Troubleshooting line assignments|    Access to Care Alerts|    Active Managed Incidents","    Eligibility Failure","    MHK Outage|    PCS Web Failure|    Firewall Degradation|    Eligibility Failure",TruCare Authorization issue,TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions|    Firewall reboot,2,ImprovedBoth,FL_26,Q14|Q2|Q13|Q27|Q15|Q11|Q10|Q12|Q1|Q16|Q9
2025-05-05 05:37:00,2025-05-05 05:39:09,IP Address,66.226.51.52,100,128,True,2025-05-05 05:39:09,R_3YD7H47RDFcAcnf,,,,,35.894,-80.5614,anonymous,EN,Chrome,136.0.0.0,Macintosh,1920x1080,"    Client","    Provider|    Pharmacy|    Client|    Contact Center","    SIE Member Web","    ImageOne|PCS|    SIE Member Web|    TruCare","    All Healthy","    All Healthy|    Offline|    Mostly Degraded|    Mixed status","    Help Desk / Support","    Marketing|    Help Desk / Support|    HR|    Finance","    Eligibility Socket Error","    Firewall issue (USC)|    PCS Web Alert|    Eligibility Socket Error|    MHK Slowness (USG)","    Stable with no warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    PCS Synthetic Coverage","    PCS Synthetic Coverage|    Eligibility Firewall Timeout|TruCare Authorization issue|    MHK Performance Lag","    System grid color","    System grid color|    Active Managed Incidents|    Troubleshooting line assignments|    Access to Care Alerts","    PCS Web Failure","    Eligibility Failure|    MHK Outage|    PCS Web Failure|    Firewall Degradation","    PCS Synthetic HTML error","    Firewall reboot|TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions",2,StatusQuo,FL_21,Q1|Q27|Q13|Q9|Q2|Q10|Q14|Q12|Q11|Q16|Q15
2025-05-05 05:38:04,2025-05-05 05:41:01,IP Address,68.45.64.176,100,177,True,2025-05-05 05:41:02,R_6ROJYV5rda4uVyP,,,,,39.1006,-87.4183,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1920x1080,"    Contact Center","    Contact Center|    Provider|    Client|    Pharmacy",PCS,PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mostly Degraded","    Mostly Degraded|    Offline|    All Healthy|    Mixed status","    Help Desk / Support","    Help Desk / Support|    HR|    Marketing|    Finance","    Firewall issue (USC)","    MHK Slowness (USG)|    PCS Web Alert|    Firewall issue (USC)|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Fully recovered|    Fluctuating warnings|    Increasing degradation","    MHK Performance Lag",TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag|    PCS Synthetic Coverage,"    Active Managed Incidents","    Active Managed Incidents|    Access to Care Alerts|    System grid color|    Troubleshooting line assignments","    PCS Web Failure","    PCS Web Failure|    Eligibility Failure|    Firewall Degradation|    MHK Outage","    PCS Synthetic HTML error","    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error|TruCare Authorization issue",2,ImprovedChartjunk,FL_25,Q9|Q1|Q11|Q14|Q10|Q27|Q16|Q15|Q12|Q2|Q13
2025-05-05 05:41:12,2025-05-05 05:43:45,IP Address,68.45.64.176,100,153,True,2025-05-05 05:43:46,R_6wgaxmrjwqUi4bw,,,,,39.1006,-87.4183,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1920x1080,"    Contact Center","    Pharmacy|    Provider|    Client|    Contact Center","    SIE Member Web","    TruCare|PCS|    ImageOne|    SIE Member Web","    Mostly Degraded","    Mixed status|    Offline|    Mostly Degraded|    All Healthy","    Help Desk / Support","    Marketing|    Help Desk / Support|    Finance|    HR","    MHK Slowness (USG)","    PCS Web Alert|    Firewall issue (USC)|    Eligibility Socket Error|    MHK Slowness (USG)","    Increasing degradation","    Fully recovered|    Stable with no warnings|    Fluctuating warnings|    Increasing degradation","    MHK Performance Lag",TruCare Authorization issue|    PCS Synthetic Coverage|    MHK Performance Lag|    Eligibility Firewall Timeout,"    Access to Care Alerts","    Access to Care Alerts|    Active Managed Incidents|    System grid color|    Troubleshooting line assignments","    PCS Web Failure","    Firewall Degradation|    Eligibility Failure|    MHK Outage|    PCS Web Failure","    Firewall reboot",TruCare Authorization issue|    PCS Synthetic HTML error|    Firewall reboot|    ImageOne socket exceptions,2,ImprovedBoth,FL_26,Q2|Q15|Q11|Q10|Q1|Q14|Q27|Q9|Q12|Q13|Q16
2025-05-05 05:52:05,2025-05-05 05:54:33,IP Address,144.229.20.137,100,148,True,2025-05-05 05:54:34,R_3IZIfD0SCtWH8WZ,,,,,39.7503,-75.5453,anonymous,EN,Chrome,136.0.0.0,Windows NT 10.0,1366x768,"    Provider","    Pharmacy|    Provider|    Contact Center|    Client",PCS,"    TruCare|    SIE Member Web|    ImageOne|PCS","    All Healthy","    Offline|    Mostly Degraded|    Mixed status|    All Healthy","    Finance","    Marketing|    HR|    Help Desk / Support|    Finance","    PCS Web Alert","    Firewall issue (USC)|    Eligibility Socket Error|    MHK Slowness (USG)|    PCS Web Alert","    Fully recovered","    Fully recovered|    Increasing degradation|    Fluctuating warnings|    Stable with no warnings","    PCS Synthetic Coverage","    PCS Synthetic Coverage|    Eligibility Firewall Timeout|TruCare Authorization issue|    MHK Performance Lag","    Access to Care Alerts","    System grid color|    Access to Care Alerts|    Troubleshooting line assignments|    Active Managed Incidents","    PCS Web Failure","    Eligibility Failure|    PCS Web Failure|    MHK Outage|    Firewall Degradation",TruCare Authorization issue,"    PCS Synthetic HTML error|    ImageOne socket exceptions|TruCare Authorization issue|    Firewall reboot",2,StatusQuo,FL_21,Q10|Q13|Q2|Q1|Q12|Q16|Q9|Q14|Q11|Q27|Q15
2025-05-05 06:08:00,2025-05-05 06:10:33,IP Address,167.100.48.97,100,152,True,2025-05-05 06:10:34,R_7qrtOtcHAqtbge1,,,,,40.5452,-84.39,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1680x1050,"    Client","    Contact Center|    Client|    Provider|    Pharmacy","    SIE Member Web","    ImageOne|    SIE Member Web|PCS|    TruCare","    Mixed status","    All Healthy|    Mostly Degraded|    Mixed status|    Offline","    Help Desk / Support","    Help Desk / Support|    HR|    Finance|    Marketing","    MHK Slowness (USG)","    MHK Slowness (USG)|    Eligibility Socket Error|    PCS Web Alert|    Firewall issue (USC)","    Fluctuating warnings","    Increasing degradation|    Fluctuating warnings|    Fully recovered|    Stable with no warnings",TruCare Authorization issue,TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage|    MHK Performance Lag,"    Troubleshooting line assignments","    System grid color|    Active Managed Incidents|    Troubleshooting line assignments|    Access to Care Alerts","    Firewall Degradation","    Eligibility Failure|    MHK Outage|    Firewall Degradation|    PCS Web Failure","    Firewall reboot","    PCS Synthetic HTML error|TruCare Authorization issue|    Firewall reboot|    ImageOne socket exceptions",2,ImprovedHierarchy,FL_22,Q14|Q10|Q2|Q1|Q11|Q9|Q12|Q27|Q15|Q16|Q13
2025-05-05 06:21:27,2025-05-05 06:23:25,IP Address,167.253.80.71,100,117,True,2025-05-05 06:23:26,R_3nU4MYeil8cFN4a,,,,,40.5992,-77.5768,anonymous,EN,Chrome,133.0.0.0,Windows NT 10.0,1440x900,"    Client","    Pharmacy|    Client|    Provider|    Contact Center","    ImageOne","    TruCare|PCS|    ImageOne|    SIE Member Web","    All Healthy","    All Healthy|    Mostly Degraded|    Mixed status|    Offline","    Finance","    Finance|    HR|    Help Desk / Support|    Marketing","    PCS Web Alert","    PCS Web Alert|    MHK Slowness (USG)|    Eligibility Socket Error|    Firewall issue (USC)","    Increasing degradation","    Fluctuating warnings|    Stable with no warnings|    Fully recovered|    Increasing degradation","    MHK Performance Lag","    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage","    System grid color","    System grid color|    Access to Care Alerts|    Troubleshooting line assignments|    Active Managed Incidents","    Firewall Degradation","    PCS Web Failure|    MHK Outage|    Firewall Degradation|    Eligibility Failure",TruCare Authorization issue,"    Firewall reboot|    PCS Synthetic HTML error|    ImageOne socket exceptions|TruCare Authorization issue",2,ImprovedHierarchy,FL_22,Q14|Q1|Q16|Q11|Q15|Q12|Q2|Q10|Q9|Q27|Q13
2025-05-05 06:23:04,2025-05-05 06:25:01,IP Address,108.22.224.185,100,117,True,2025-05-05 06:25:02,R_1IcST0akCvK5NuN,,,,,39.3733,-76.7281,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1372x772,"    Contact Center","    Pharmacy|    Provider|    Client|    Contact Center","    TruCare","    SIE Member Web|    TruCare|    ImageOne|PCS","    Mixed status","    All Healthy|    Mixed status|    Offline|    Mostly Degraded","    Help Desk / Support","    Marketing|    HR|    Help Desk / Support|    Finance","    MHK Slowness (USG)","    Eligibility Socket Error|    MHK Slowness (USG)|    Firewall issue (USC)|    PCS Web Alert","    Increasing degradation","    Fully recovered|    Increasing degradation|    Stable with no warnings|    Fluctuating warnings","    PCS Synthetic Coverage",TruCare Authorization issue|    MHK Performance Lag|    PCS Synthetic Coverage|    Eligibility Firewall Timeout,"    Access to Care Alerts","    Active Managed Incidents|    System grid color|    Access to Care Alerts|    Troubleshooting line assignments","    MHK Outage","    PCS Web Failure|    MHK Outage|    Firewall Degradation|    Eligibility Failure","    Firewall reboot","    PCS Synthetic HTML error|    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions",2,StatusQuo,FL_21,Q27|Q11|Q13|Q16|Q15|Q10|Q2|Q1|Q14|Q12|Q9
2025-05-05 06:24:34,2025-05-05 06:26:06,IP Address,167.253.80.71,100,91,True,2025-05-05 06:26:06,R_5wPUaqX64rc158R,,,,,40.5992,-77.5768,anonymous,EN,Chrome,133.0.0.0,Windows NT 10.0,1440x900,"    Pharmacy","    Client|    Pharmacy|    Provider|    Contact Center","    TruCare",PCS|    ImageOne|    SIE Member Web|    TruCare,"    All Healthy","    Offline|    Mixed status|    All Healthy|    Mostly Degraded","    Marketing","    Marketing|    Finance|    HR|    Help Desk / Support","    PCS Web Alert","    Firewall issue (USC)|    Eligibility Socket Error|    PCS Web Alert|    MHK Slowness (USG)","    Fully recovered","    Increasing degradation|    Fully recovered|    Fluctuating warnings|    Stable with no warnings","    PCS Synthetic Coverage","    PCS Synthetic Coverage|    Eligibility Firewall Timeout|TruCare Authorization issue|    MHK Performance Lag","    Active Managed Incidents","    Active Managed Incidents|    System grid color|    Troubleshooting line assignments|    Access to Care Alerts","    PCS Web Failure","    Firewall Degradation|    MHK Outage|    PCS Web Failure|    Eligibility Failure",TruCare Authorization issue,TruCare Authorization issue|    Firewall reboot|    ImageOne socket exceptions|    PCS Synthetic HTML error,2,ImprovedBoth,FL_26,Q16|Q9|Q2|Q11|Q10|Q14|Q13|Q1|Q15|Q27|Q12
2025-05-05 06:47:44,2025-05-05 06:50:42,IP Address,144.229.20.144,100,178,True,2025-05-05 06:50:43,R_3iwj5HJOh2P3zk2,,,,,39.7503,-75.5453,anonymous,EN,Chrome,136.0.0.0,Windows NT 10.0,1680x1050,"    Provider","    Pharmacy|    Client|    Contact Center|    Provider","    TruCare","    TruCare|PCS|    ImageOne|    SIE Member Web","    Mostly Degraded","    All Healthy|    Mixed status|    Mostly Degraded|    Offline","    Help Desk / Support","    Finance|    Marketing|    HR|    Help Desk / Support","    MHK Slowness (USG)","    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error|    Firewall issue (USC)","    Increasing degradation","    Fluctuating warnings|    Increasing degradation|    Fully recovered|    Stable with no warnings",TruCare Authorization issue,TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage|    MHK Performance Lag,"    Access to Care Alerts","    Active Managed Incidents|    System grid color|    Troubleshooting line assignments|    Access to Care Alerts","    Firewall Degradation","    Eligibility Failure|    Firewall Degradation|    MHK Outage|    PCS Web Failure",TruCare Authorization issue,TruCare Authorization issue|    Firewall reboot|    ImageOne socket exceptions|    PCS Synthetic HTML error,2,ImprovedChartjunk,FL_25,Q11|Q12|Q9|Q27|Q1|Q2|Q16|Q13|Q14|Q10|Q15
